path,column_name,assay,osmolyte,condition_mM,cell_id,rotation_direction,fps,source_kind,source_path,sign_adjustment,time_bin_s,reduction,frame_reference_fps
data/time-series/bead/sodium_300mM.parquet,cell13,Sodium,sodium,300,cell13,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/300mM/freq-300-cell13.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_300mM.parquet,cell14,Sodium,sodium,300,cell14,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/300mM/freq-300-cell14.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_300mM.parquet,cell15,Sodium,sodium,300,cell15,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/300mM/freq-300-cell15.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_300mM.parquet,cell2,Sodium,sodium,300,cell2,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/300mM/freq-300-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_300mM.parquet,cell4,Sodium,sodium,300,cell4,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/300mM/freq-300-cell4.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_300mM.parquet,cell6,Sodium,sodium,300,cell6,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/300mM/freq-300-cell6.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_300mM.parquet,cell7,Sodium,sodium,300,cell7,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/300mM/freq-300-cell7.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_300mM.parquet,cell8,Sodium,sodium,300,cell8,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/300mM/freq-300-cell8.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_400mM.parquet,cell1,Sodium,sodium,400,cell1,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/400mM/freq-400-cell1.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_400mM.parquet,cell13,Sodium,sodium,400,cell13,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/400mM/freq-400-cell13.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_400mM.parquet,cell14,Sodium,sodium,400,cell14,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/400mM/freq-400-cell14.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_400mM.parquet,cell15,Sodium,sodium,400,cell15,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/400mM/freq-400-cell15.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_400mM.parquet,cell16,Sodium,sodium,400,cell16,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/400mM/freq-400-cell16.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_400mM.parquet,cell17,Sodium,sodium,400,cell17,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/400mM/freq-400-cell17.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_400mM.parquet,cell3,Sodium,sodium,400,cell3,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/400mM/freq-400-cell3.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_400mM.parquet,cell6,Sodium,sodium,400,cell6,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/400mM/freq-400-cell6.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_400mM.parquet,cell8,Sodium,sodium,400,cell8,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/400mM/freq-400-cell8.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_400mM.parquet,cell9,Sodium,sodium,400,cell9,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/400mM/freq-400-cell9.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_500mM.parquet,cell1,Sodium,sodium,500,cell1,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/500mM/freq-500-cell1.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_500mM.parquet,cell10,Sodium,sodium,500,cell10,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/500mM/freq-500-cell10.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_500mM.parquet,cell2,Sodium,sodium,500,cell2,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/500mM/freq-500-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_500mM.parquet,cell3,Sodium,sodium,500,cell3,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/500mM/freq-500-cell3.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_500mM.parquet,cell4,Sodium,sodium,500,cell4,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/500mM/freq-500-cell4.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_500mM.parquet,cell5,Sodium,sodium,500,cell5,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/500mM/freq-500-cell5.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_500mM.parquet,cell6,Sodium,sodium,500,cell6,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/500mM/freq-500-cell6.csv,none,0.1,mean_bin,300
