frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
50,31057.627485976544,29768.387057877815,28893.121350018962,29432.829141716567,28174.60600130463,31522.121919584955,32292.418032786885,31992.321635171615,31165.79852724595,30704.77737447066
51,31289.455615246865,29874.07377381435,29510.255427841636,29543.726650563607,28218.98889614631,31904.5969762419,33062.418803418805,33023.1492248062,31601.329214474845,31074.52
52,30942.137851662403,29661.51917642309,29315.395913154534,29316.090616190093,28034.705345501956,31402.372363323288,32204.277125578086,31869.321068938807,31071.902237926974,30626.52958937198
53,30896.25518300486,29630.78131292791,29267.30140485313,29283.146999597262,28026.16175507531,31357.007318123116,32152.828236130867,31820.652745552976,31021.153981780782,30565.51178247734
54,30991.212967708867,29701.306601863103,29353.07343550447,29358.877419354838,28082.576647097194,31462.91469194313,32319.681236673772,32045.94773519164,31175.920920625555,30724.916666666668
55,30326.981054787506,29114.795720629794,28811.84833971903,28824.85673930589,27569.513671875,30782.92218400688,31581.01244223249,31322.41975308642,30493.602420306965,30076.917070217918
56,28347.636247116123,27297.26381605486,27014.978927203065,27001.819685356997,25857.65101108937,28747.204213241617,29461.02594171997,29346.641808346212,28612.544516509435,28241.299879081016
57,26652.841241343933,25664.953610326746,25432.14814814815,25397.40338164251,24323.776908023483,27043.068328319725,27668.487397941073,27621.91834365325,26896.31124852768,26587.67716535433
58,25784.391125929724,24792.281388776744,24597.92369093231,24558.318694601126,23544.38823529412,26160.698364888125,26828.494482022073,26813.71052631579,26078.338348082594,25794.800967937084
59,25422.893982074263,24460.75294117647,24275.856960408684,24227.254230459308,23207.318859364874,25817.86813661911,26503.42444761226,26467.615027110765,25772.48642266824,25461.382991556093
60,25265.189355168885,24288.434624697336,24103.178480204344,24063.698950766746,23041.492167101827,25653.4686825054,26342.72384341637,26333.8752904725,25616.503103754065,25328.308805790108
61,25301.772680676575,24314.756789623025,24126.71455938697,24082.010101010103,23058.354817708332,25708.52253032929,26409.735252309878,26388.192635658914,25695.088573959256,25393.200606060607
62,25392.962138654388,24396.0137987013,24198.71136653895,24171.254751314194,23129.527687296417,25821.62878133103,26526.279673063254,26509.50677506775,25812.298789489225,25573.66929133858
63,25595.92614362382,24567.553846153845,24395.485312899105,24335.865858585857,23296.012377850162,26028.2156101768,26730.677671281504,26718.211792086888,25999.06603773585,25740.292298362645
64,25800.911020199437,24758.88830433023,24590.84897828863,24542.00202020202,23496.49060272197,26232.533506268916,26948.394952008533,26911.15095071789,26195.902331071113,25902.530266343827
65,25941.696442283082,24894.936462970458,24720.49361430396,24667.816935483872,23611.311561071194,26373.519844693703,27068.402413058906,27011.451889365017,26775.48230431413,26016.158691702
66,26042.54884910486,24992.33319854428,24817.952426564494,24759.625707356507,23694.181462140994,26454.09943795936,27161.53947368421,27116.5100931677,26870.732110565747,26116.77146311971
67,26115.350792028614,25065.321760193783,24884.2812899106,24857.0946817083,23763.40767230169,26532.061824470384,27237.37646640597,27194.286824718227,26490.89587020649,26187.647946859903
68,26148.72876151484,25096.133090614887,24930.17943805875,24877.167541380702,23814.686236138292,26559.39991353221,27265.99039829303,27220.052059052057,26515.698230088496,26212.939503932244
69,26197.750832266323,25141.101091791348,24981.86111111111,24931.07200321802,23838.221860767728,26626.6714039621,27312.786120996443,27265.23124757093,26587.07338638373,26285.819444444445
70,26195.54638646848,25139.336697618088,24967.67305236271,24925.809523809523,23845.360548661007,26629.77490297542,27317.070462633452,27273.31857031857,26570.846199175015,26248.206521739132
71,26201.172731932344,25153.32928802589,24984.2496807152,24933.83675937122,23863.47820429408,26605.352331606216,27339.27793594306,27294.13874854256,26601.554703627247,26260.79746070133
72,26254.850038451677,25184.847922549416,25011.058429118773,24962.357575757575,23892.093689004556,26663.81900647948,27372.83991462113,27335.53690753691,26618.958112094395,26305.490623109497
73,26299.263764404608,25252.934034803722,25072.21424010217,25009.60153721683,23961.814983713353,26731.6242974492,27417.308567365802,27396.291650485437,27155.35572203565,26377.540458937197
74,26299.169487179486,25256.220920840064,25078.250638569603,25029.93500201857,23951.124268054653,26744.19041450777,27423.821060120954,27391.36727555383,26693.739515652687,26381.577319587628
75,26366.25884161968,25289.898016997166,25120.53256704981,25069.27114528531,23979.88888888889,26796.45501730104,27479.77410174315,27453.187791601868,27203.80573495221,26426.819662243666
76,26428.94470046083,25363.898503841487,25179.532247765008,25135.06672058229,24062.929915639197,26866.03726169844,27566.141080312722,27540.531262135923,26837.929710572946,26524.776769509983
77,26494.23476702509,25455.42591844974,25274.562899106004,25205.438717532466,24126.834850455136,26940.561744386872,27660.276928546034,27625.422118380062,26898.1942722173,26591.673345476625
78,26584.67238290248,25525.154501216544,25345.189655172413,25316.164985881405,24217.58792991564,27041.76165803109,27750.70945945946,27704.969685192384,26999.187665978163,26665.516343825664
79,26726.847770374166,25650.933710590136,25469.122605363984,25419.0501010101,24330.442057291668,27171.371267849416,27886.359602413915,27838.379658385093,27122.424985233312,26817.293155663236
80,26792.369498464686,25725.18255250404,25527.250638569603,25494.40072492952,24381.010416666668,27214.64960971379,27935.904778887303,27871.007372914242,27179.76023564065,26867.033212560385
